iter	Passed	Remaining
686	14305	6517
687	14325	6496
688	14345	6475
689	14366	6454
690	14386	6433
691	14406	6412
692	14425	6390
693	14446	6369
694	14467	6349
695	14487	6327
696	14511	6308
697	14540	6291
698	14563	6271
699	14586	6251
700	14609	6231
701	14649	6218
702	14677	6200
703	14706	6183
704	14735	6166
705	14758	6146
706	14783	6126
707	14806	6106
708	14828	6085
709	14848	6064
710	14866	6042
711	14890	6023
712	14909	6001
713	14928	5979
714	14948	5958
715	14967	5936
716	14987	5915
717	15009	5894
718	15031	5874
719	15051	5853
720	15071	5832
721	15090	5810
722	15113	5790
723	15132	5768
724	15154	5748
725	15175	5727
726	15201	5708
727	15224	5688
728	15248	5668
729	15268	5647
730	15297	5629
731	15317	5608
732	15342	5588
733	15363	5567
734	15383	5546
735	15409	5527
736	15438	5509
737	15460	5488
738	15478	5466
739	15499	5445
740	15543	5432
741	15569	5413
742	15592	5393
743	15615	5373
744	15634	5351
745	15653	5329
746	15672	5308
747	15696	5288
748	15716	5266
749	15735	5245
750	15760	5225
751	15778	5203
752	15796	5181
753	15817	5160
754	15835	5138
755	15860	5118
756	15878	5097
757	15897	5075
758	15915	5053
759	15937	5032
760	15956	5011
761	15977	4990
762	15997	4969
763	16016	4947
764	16040	4927
765	16058	4905
766	16081	4885
767	16108	4866
768	16134	4846
769	16160	4827
770	16189	4808
771	16213	4788
772	16240	4769
773	16262	4748
774	16282	4727
775	16303	4706
776	16323	4684
777	16343	4663
778	16363	4642
779	16381	4620
780	16402	4599
781	16461	4589
782	16528	4580
783	16550	4559
784	16574	4539
785	16595	4518
786	16620	4498
787	16640	4476
788	16662	4456
789	16681	4434
790	16704	4413
791	16727	4392
792	16747	4371
793	16766	4349
794	16784	4328
795	16803	4306
796	16822	4284
797	16844	4263
798	16864	4242
799	16885	4221
800	16907	4200
801	16926	4178
802	16945	4157
803	16963	4135
804	16984	4114
805	17002	4092
806	17024	4071
807	17051	4051
808	17070	4030
809	17089	4008
810	17107	3986
811	17126	3965
812	17145	3943
813	17170	3923
814	17194	3903
815	17225	3884
816	17260	3866
817	17291	3847
818	17319	3827
819	17344	3807
820	17367	3786
821	17389	3765
822	17410	3744
823	17432	3723
824	17453	3702
825	17473	3680
826	17495	3659
827	17518	3639
828	17540	3618
829	17560	3596
830	17582	3575
831	17602	3554
832	17625	3533
833	17649	3513
834	17672	3492
835	17691	3470
836	17714	3449
837	17736	3428
838	17758	3407
839	17780	3386
840	17801	3365
841	17822	3344
842	17844	3323
843	17866	3302
844	17887	3281
845	17908	3259
846	17932	3239
847	17951	3217
848	17972	3196
849	17992	3175
850	18015	3154
851	18038	3133
852	18058	3112
853	18082	3091
854	18103	3070
855	18129	3049
856	18152	3028
857	18173	3007
858	18197	2986
859	18218	2965
860	18240	2944
861	18263	2923
862	18286	2902
863	18306	2881
864	18330	2860
865	18352	2839
866	18373	2818
867	18398	2797
868	18422	2777
869	18447	2756
870	18469	2735
871	18491	2714
872	18516	2693
873	18537	2672
874	18561	2651
875	18584	2630
876	18605	2609
877	18628	2588
878	18644	2566
879	18663	2544
880	18680	2523
881	18697	2501
882	18717	2480
883	18738	2458
884	18762	2438
885	18781	2416
886	18800	2395
887	18818	2373
888	18837	2352
889	18862	2331
890	18882	2310
891	18900	2288
892	18918	2266
893	18937	2245
894	18958	2224
895	18980	2203
896	19001	2181
897	19030	2161
898	19063	2141
899	19092	2121
900	19113	2100
901	19133	2078
902	19161	2058
903	19185	2037
904	19211	2016
905	19233	1995
906	19254	1974
907	19281	1953
908	19302	1932
909	19331	1911
910	19351	1890
911	19376	1869
912	19400	1848
913	19427	1827
914	19448	1806
915	19478	1786
916	19501	1765
917	19524	1743
918	19546	1722
919	19567	1701
920	19591	1680
921	19611	1659
922	19634	1637
923	19659	1616
924	19680	1595
925	19707	1574
926	19730	1553
927	19752	1532
928	19777	1511
929	19805	1490
930	19828	1469
931	19849	1448
932	19877	1427
933	19898	1406
934	19930	1385
935	19957	1364
936	19979	1343
937	20041	1324
938	20081	1304
939	20163	1287
940	20232	1268
941	20268	1247
942	20315	1227
943	20344	1206
944	20365	1185
945	20389	1163
946	20411	1142
947	20432	1120
948	20450	1099
949	20472	1077
950	20493	1055
951	20515	1034
952	20535	1012
953	20555	991
954	20574	969
955	20593	947
956	20612	926
957	20632	904
958	20655	883
959	20674	861
960	20693	839
961	20715	818
962	20747	797
963	20767	775
964	20798	754
965	20819	732
966	20841	711
967	20860	689
968	20878	667
969	20897	646
970	20916	624
971	20938	603
972	20960	581
973	20979	560
974	20998	538
975	21019	516
976	21040	495
977	21061	473
978	21079	452
979	21099	430
980	21122	409
981	21142	387
982	21161	365
983	21182	344
984	21201	322
985	21222	301
986	21241	279
987	21263	258
988	21282	236
989	21300	215
990	21319	193
991	21337	172
992	21358	150
993	21379	129
994	21399	107
995	21423	86
996	21443	64
997	21467	43
998	21488	21
999	21509	0
